1 2.96028e-08
2 1.87566e-08
3 1.86453e-08
4 1.88061e-08
6 2.95086e-08
7 3.2559e-08
8 3.39826e-08
9 3.4336e-08
10 3.97014e-08
11 3.91788e-08
12 4.14769e-08
13 4.37823e-08
14 4.42136e-08
15 5.41589e-08
16 5.40029e-08
17 5.93271e-08
18 6.06636e-08
19 6.38324e-08
20 6.57726e-08
21 6.86529e-08
22 7.02627e-08
23 7.3321e-08
24 7.71348e-08
25 8.03005e-08
26 8.6342e-08
27 8.54549e-08
28 8.68535e-08
29 9.41853e-08
30 1.01163e-07
31 1.05513e-07
32 1.07569e-07
33 1.12079e-07
34 1.11813e-07
35 1.1712e-07
36 1.09374e-07
37 1.20469e-07
38 1.24833e-07
39 1.22355e-07
40 1.32418e-07
41 1.26761e-07
42 1.32814e-07
43 1.37381e-07
44 1.42035e-07
45 1.4709e-07
46 1.52317e-07
47 1.50247e-07
48 1.41951e-07
49 1.53941e-07
50 1.62085e-07
