2 57
4 131
6 219
8 293
10 366
12 440
14 513
16 586
18 660
20 733
22 806
24 880
26 953
28 1026
30 1100
32 1173
34 1246
36 1320
38 1393
40 1466
42 1540
44 1613
46 1686
48 1760
50 1833
